City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Seoul,KR,2021-10-21 22:41:12,37.5683,126.9778,277.81,93,0,0.51
260,Mar Del Plata,AR,2021-10-21 22:40:26,-38.0023,-57.5575,297.16,91,0,0.89
261,Felanitx,ES,2021-10-21 22:42:55,39.4696,3.1483,293.68,67,100,5.98
262,Okhotsk,RU,2021-10-21 22:42:56,59.3833,143.3,263.82,69,15,3.14
263,Belaya Gora,RU,2021-10-21 22:42:56,68.5333,146.4167,249.73,95,71,1.35
264,Sao Filipe,CV,2021-10-21 22:42:57,14.8961,-24.4956,300.45,65,17,2.88
265,Malazgirt,TR,2021-10-21 22:42:57,39.1427,42.5401,279.82,42,0,1.52
266,Sioux Lookout,CA,2021-10-21 22:38:31,50.1001,-91.917,276.36,69,75,4.12
267,Bairiki,KI,2021-10-21 22:42:58,1.3292,172.9752,303.15,66,20,4.12
268,La Palma,US,2021-10-21 22:42:58,33.8464,-118.0467,304.83,55,20,2.68
269,Kemijarvi,FI,2021-10-21 22:42:59,66.7131,27.4306,269.93,91,100,5.14
270,Erenhot,CN,2021-10-21 22:40:46,43.6475,111.9767,275.41,47,0,1.98
271,Lagoa,PT,2021-10-21 22:42:59,39.05,-27.9833,293.28,71,100,5.26
272,Mitha Tiwana,PK,2021-10-21 22:43:00,32.2486,72.1108,294.87,30,14,4.46
273,Mugur-Aksy,RU,2021-10-21 22:43:00,50.35,90.5,264.6,61,23,2.76
274,Maryville,US,2021-10-21 22:43:01,35.7565,-83.9705,295.29,88,40,0.45
275,Ariquemes,BR,2021-10-21 22:43:01,-9.9133,-63.0408,299.07,78,60,0.32
276,Ilulissat,GL,2021-10-21 22:42:31,69.2167,-51.1,272.16,74,75,7.2
277,Tavricheskoye,RU,2021-10-21 22:43:02,54.5851,73.6395,276.1,95,79,8.11
278,Lincoln,US,2021-10-21 22:42:03,40.8,-96.667,288.15,56,1,0.45
279,Bubaque,GW,2021-10-21 22:43:03,11.2833,-15.8333,301.39,76,100,3.87
280,Olavarria,AR,2021-10-21 22:43:03,-36.8927,-60.3225,291.67,71,26,3.83
281,Araouane,ML,2021-10-21 22:38:50,18.9048,-3.5265,298.21,23,9,3.98
282,Iqaluit,CA,2021-10-21 22:43:04,63.7506,-68.5145,272.0,86,75,0.89
283,Marzuq,YE,2021-10-21 22:43:04,14.4,46.4667,296.01,34,19,2.07
284,Susanville,US,2021-10-21 22:38:29,40.4163,-120.653,292.06,67,40,6.17
285,Haikou,CN,2021-10-21 22:43:05,20.0458,110.3417,294.22,100,75,6.0
286,Chaves,US,2021-10-21 22:43:05,33.3834,-104.4505,302.38,12,1,4.12
287,Hay River,CA,2021-10-21 22:43:06,60.8156,-115.7999,284.14,37,1,5.66
288,Buluang,PH,2021-10-21 22:43:04,13.3068,123.3425,299.15,90,89,1.52
289,Innisfail,AU,2021-10-21 22:43:06,-17.5333,146.0333,303.08,67,49,3.19
290,Gat,IL,2021-10-21 22:43:07,31.61,34.7642,294.16,100,1,1.12
